Open Time,Open,High,Low,Close,Volume
2024-10-28 21:45:00,69686.02000000,69797.99000000,69686.01000000,69791.00000000,128.44435000
2024-10-28 22:00:00,69791.00000000,70270.00000000,69791.00000000,70028.58000000,2408.82575000
2024-10-28 22:15:00,70028.58000000,70080.59000000,69878.78000000,69911.32000000,460.94693000
2024-10-28 22:30:00,69911.31000000,69980.00000000,69808.00000000,69814.01000000,338.97670000
2024-10-28 22:45:00,69814.01000000,69961.65000000,69806.00000000,69961.65000000,208.61242000
2024-10-28 23:00:00,69961.64000000,70145.50000000,69920.00000000,69924.00000000,350.59814000
2024-10-28 23:15:00,69923.99000000,70004.99000000,69733.30000000,69809.01000000,276.20992000
2024-10-28 23:30:00,69809.01000000,69950.00000000,69809.01000000,69870.01000000,131.56842000
2024-10-28 23:45:00,69870.01000000,69963.89000000,69838.27000000,69962.21000000,169.92791000
2024-10-29 00:00:00,69962.21000000,70010.00000000,69760.00000000,69855.46000000,164.33993000
2024-10-29 00:15:00,69855.46000000,69952.00000000,69808.00000000,69848.41000000,143.14503000
2024-10-29 00:30:00,69848.41000000,69958.01000000,69762.21000000,69790.01000000,163.98520000
2024-10-29 00:45:00,69790.01000000,70000.07000000,69788.00000000,69960.88000000,183.13655000
2024-10-29 01:00:00,69960.89000000,69988.00000000,69840.24000000,69884.50000000,156.06659000
2024-10-29 01:15:00,69884.50000000,70015.00000000,69850.00000000,69915.92000000,149.01410000
2024-10-29 01:30:00,69915.92000000,69999.99000000,69880.00000000,69968.92000000,151.16981000
2024-10-29 01:45:00,69968.92000000,70387.97000000,69930.00000000,70310.58000000,645.74206000
2024-10-29 02:00:00,70310.58000000,71004.00000000,70221.11000000,71003.99000000,1921.02134000
2024-10-29 02:15:00,71004.00000000,71587.88000000,70800.00000000,71372.00000000,2011.72083000
2024-10-29 02:30:00,71372.00000000,71508.00000000,71199.48000000,71377.53000000,1000.47150000
2024-10-29 02:45:00,71377.52000000,71435.69000000,70970.84000000,71190.05000000,922.75964000
2024-10-29 03:00:00,71190.05000000,71430.96000000,71190.05000000,71343.03000000,383.76919000
2024-10-29 03:15:00,71343.04000000,71382.38000000,71170.00000000,71207.99000000,310.20949000
2024-10-29 03:30:00,71208.00000000,71303.04000000,71006.76000000,71046.46000000,565.50123000
2024-10-29 03:45:00,71046.46000000,71068.99000000,70885.02000000,70938.14000000,388.64284000
2024-10-29 04:00:00,70938.15000000,71129.00000000,70926.73000000,71084.68000000,455.68505000
2024-10-29 04:15:00,71084.68000000,71139.22000000,71082.00000000,71109.44000000,173.24017000
2024-10-29 04:30:00,71109.44000000,71137.31000000,70981.15000000,71019.12000000,272.71081000
2024-10-29 04:45:00,71019.13000000,71098.16000000,71000.00000000,71088.01000000,226.53837000
2024-10-29 05:00:00,71088.00000000,71110.40000000,71000.00000000,71022.00000000,255.44035000
2024-10-29 05:15:00,71021.99000000,71040.53000000,70886.59000000,70916.27000000,334.70969000
2024-10-29 05:30:00,70916.26000000,70991.14000000,70908.00000000,70954.46000000,241.74316000
2024-10-29 05:45:00,70954.46000000,71090.91000000,70954.46000000,71039.99000000,299.88242000
2024-10-29 06:00:00,71039.99000000,71250.00000000,71006.00000000,71199.91000000,445.72178000
2024-10-29 06:15:00,71199.91000000,71238.00000000,71055.96000000,71102.85000000,331.17083000
2024-10-29 06:30:00,71102.84000000,71231.47000000,71095.20000000,71206.65000000,359.38951000
2024-10-29 06:45:00,71206.65000000,71370.00000000,71181.94000000,71248.45000000,366.49628000
2024-10-29 07:00:00,71248.46000000,71267.08000000,70946.43000000,70954.86000000,389.45262000
2024-10-29 07:15:00,70954.86000000,71100.00000000,70954.85000000,71037.45000000,369.25235000
2024-10-29 07:30:00,71037.46000000,71100.00000000,70865.06000000,70934.01000000,523.10367000
